time,symbol,signal,action,price,lots,sl_pips,tp_pips,order_result
2025-12-03 00:01:13.835114,USDJPYm,-1,SELL,155.77,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022970228, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956254, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.77, stoplimit=0.0, sl=155.97, tp=155.37, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:01:43.964177,USDJPYm,1,BUY,155.726,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022971649, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956255, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.736, stoplimit=0.0, sl=155.536, tp=156.136, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:02:14.098815,USDJPYm,1,BUY,155.71,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022973020, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956256, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.72, stoplimit=0.0, sl=155.52, tp=156.12, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:02:44.256877,USDJPYm,1,BUY,155.693,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022974690, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956257, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.703, stoplimit=0.0, sl=155.50300000000001, tp=156.103, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:03:14.385290,USDJPYm,1,BUY,155.716,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022975679, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956258, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.726, stoplimit=0.0, sl=155.526, tp=156.126, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:03:44.512214,USDJPYm,1,BUY,155.713,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022976885, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956259, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.723, stoplimit=0.0, sl=155.52300000000002, tp=156.12300000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:04:14.642008,USDJPYm,1,BUY,155.697,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022977846, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956260, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.707, stoplimit=0.0, sl=155.507, tp=156.107, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:04:44.764542,USDJPYm,1,BUY,155.712,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022978879, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956261, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.722, stoplimit=0.0, sl=155.52200000000002, tp=156.122, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:05:14.884602,USDJPYm,1,BUY,155.672,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022979879, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956262, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.682, stoplimit=0.0, sl=155.482, tp=156.082, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:05:45.003172,USDJPYm,1,BUY,155.678,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022980683, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956263, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.688, stoplimit=0.0, sl=155.488, tp=156.088, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
